,hubmap_id,group_name,dataset_type
266,HBM825.KFFT.669,University of Florida TMC,CODEX [Cytokit + SPRM]
267,HBM374.HKFP.523,University of Florida TMC,
268,HBM794.RLFN.358,University of Florida TMC,
269,HBM565.QQGJ.494,University of Florida TMC,
270,HBM327.LNVF.877,University of Florida TMC,CODEX [Cytokit + SPRM]
271,HBM363.GJNF.946,University of Florida TMC,
272,HBM597.QSZV.956,University of Florida TMC,CODEX
273,HBM863.FDNH.844,University of Florida TMC,CODEX [Cytokit + SPRM]
274,HBM844.GDWH.846,University of Florida TMC,RNAseq
275,HBM624.WJZD.337,University of Florida TMC,CODEX [Cytokit + SPRM]
276,HBM424.NKQG.578,University of Florida TMC,
277,HBM743.GSLN.359,University of Florida TMC,
278,HBM756.LVDR.338,University of Florida TMC,
279,HBM769.QPWZ.976,University of Florida TMC,
280,HBM995.NPWL.939,University of Florida TMC,RNAseq [Salmon]
281,HBM863.FZKT.367,University of Florida TMC,
282,HBM962.BSVN.575,University of Florida TMC,RNAseq
283,HBM229.DHZF.938,University of Florida TMC,
284,HBM998.KNJQ.234,University of Florida TMC,
285,HBM992.DRDZ.999,University of Florida TMC,RNAseq
286,HBM526.ZWKZ.578,University of Florida TMC,
287,HBM966.VNKN.965,University of Florida TMC,
288,HBM267.GWND.796,University of Florida TMC,RNAseq
289,HBM482.JGJX.834,University of Florida TMC,RNAseq [Salmon]
290,HBM372.BQSR.778,University of Florida TMC,
291,HBM383.TRQG.424,University of Florida TMC,
292,HBM866.FRFW.465,TC - University of Florida,
293,HBM955.DMQK.543,TC - University of Florida,
294,HBM883.LHNK.872,TC - University of Florida,
295,HBM739.KJCB.594,University of Florida TMC,CODEX [Cytokit + SPRM]
296,HBM369.DGXL.358,University of Florida TMC,
297,HBM259.JWWT.889,University of Florida TMC,
298,HBM488.PCCL.423,University of Florida TMC,
299,HBM284.SSWZ.498,University of Florida TMC,CODEX [Cytokit + SPRM]
300,HBM327.SDJD.338,Stanford TMC,
301,HBM454.CJSX.364,Stanford TMC,
302,HBM678.BGNX.633,Stanford TMC,
303,HBM222.QQZL.292,Stanford TMC,ATACseq [SnapATAC]
304,HBM298.FRVW.346,Stanford TMC,Histology [Image Pyramid]
305,HBM634.MSKL.575,Stanford TMC,CODEX [Cytokit + SPRM]
306,HBM338.SSPB.265,Stanford TMC,ATACseq
307,HBM536.TFXK.432,Stanford TMC,Histology
308,HBM892.BMFL.898,Stanford TMC,Histology [Image Pyramid]
309,HBM296.NBPZ.987,Stanford TMC,ATACseq
310,HBM423.QJJR.545,Stanford TMC,CODEX [Cytokit + SPRM]
311,HBM829.QZQP.626,Stanford TMC,CODEX [Cytokit + SPRM]
312,HBM725.QFKT.594,Stanford TMC,CODEX [Cytokit + SPRM]
313,HBM346.CKWV.452,Stanford TMC,ATACseq [SnapATAC]
314,HBM774.VXMJ.876,Stanford TMC,ATACseq [SnapATAC]
315,HBM497.CMRN.349,Stanford TMC,Histology [Image Pyramid]
316,HBM423.MMGW.744,Stanford TMC,CODEX [Cytokit + SPRM]
317,HBM838.NDBV.498,Stanford TMC,ATACseq
318,HBM654.NXWL.946,Stanford TMC,ATACseq [SnapATAC]
319,HBM293.QGKG.996,Stanford TMC,ATACseq [SnapATAC]
320,HBM645.KNRR.524,Stanford TMC,ATACseq
321,HBM396.FNQW.543,Stanford TMC,CODEX [Cytokit + SPRM]
322,HBM829.FJPP.583,Stanford TMC,ATACseq
323,HBM432.DGFJ.894,Stanford TMC,Histology
324,HBM223.JLJG.453,Stanford TMC,Histology
325,HBM442.GCDL.454,Stanford TMC,ATACseq [SnapATAC]
326,HBM724.PVGB.265,Stanford TMC,Publication [ancillary]
327,HBM244.GNRF.278,Stanford TMC,Histology [Image Pyramid]
328,HBM369.GXKB.469,Stanford TMC,Histology
329,HBM448.ZXHM.747,Stanford TMC,LC-MS
330,HBM587.SCQP.845,Stanford TMC,LC-MS
331,HBM445.DGWX.599,Stanford TMC,ATACseq [SnapATAC]
332,HBM582.WMNG.697,Stanford TMC,LC-MS
333,HBM458.HGWZ.997,Stanford TMC,LC-MS
334,HBM895.DDXX.282,Stanford TMC,LC-MS
335,HBM427.ZHQM.724,Stanford TMC,LC-MS
336,HBM583.CJZM.893,Stanford TMC,ATACseq [BWA + MACS2]
337,HBM896.GHCN.579,Stanford TMC,RNAseq [Salmon]
338,HBM385.SWLW.885,Stanford TMC,LC-MS
339,HBM339.KDDK.637,Stanford TMC,Histology [Image Pyramid]
340,HBM935.SFGK.683,Stanford TMC,LC-MS
341,HBM697.RMQD.528,Stanford TMC,LC-MS
